doclength,editsize,editnum,eps,rpe,clients,algorithm,time
100,10,20,0.9,-1,10,"Sync9",0.198
100,10,40,0.1,-1,2,"Automerge",0.438
100,10,40,0.1,-1,2,"Sync9",0.116
100,10,40,0.25,-1,2,"Automerge",0.45
100,10,40,0.25,-1,2,"Sync9",0.077
100,10,40,0.5,-1,2,"Automerge",0.387
100,10,40,0.5,-1,2,"Sync9",0.092
100,10,40,0.75,-1,2,"Automerge",0.394
100,10,40,0.75,-1,2,"Sync9",0.127
100,10,40,0.9,-1,2,"Automerge",0.391
100,10,40,0.9,-1,2,"Sync9",0.098
100,10,40,0.1,-1,3,"Automerge",0.589
100,10,40,0.1,-1,3,"Sync9",0.13
100,10,40,0.25,-1,3,"Automerge",0.504
100,10,40,0.25,-1,3,"Sync9",0.095
100,10,40,0.5,-1,3,"Automerge",0.481
100,10,40,0.5,-1,3,"Sync9",0.106
100,10,40,0.75,-1,3,"Automerge",0.485
100,10,40,0.75,-1,3,"Sync9",0.146
100,10,40,0.9,-1,3,"Automerge",0.534
100,10,40,0.9,-1,3,"Sync9",0.174
100,10,40,0.1,-1,5,"Automerge",0.739
100,10,40,0.1,-1,5,"Sync9",0.152
100,10,40,0.25,-1,5,"Automerge",0.757
100,10,40,0.25,-1,5,"Sync9",0.147
100,10,40,0.5,-1,5,"Automerge",0.681
100,10,40,0.5,-1,5,"Sync9",0.311
100,10,40,0.75,-1,5,"Automerge",0.719
100,10,40,0.75,-1,5,"Sync9",0.355
100,10,40,0.9,-1,5,"Automerge",0.675
100,10,40,0.9,-1,5,"Sync9",0.359
100,10,40,0.1,-1,7,"Automerge",1.086
100,10,40,0.1,-1,7,"Sync9",0.212
100,10,40,0.25,-1,7,"Automerge",1.14
100,10,40,0.25,-1,7,"Sync9",0.221
100,10,40,0.5,-1,7,"Automerge",1.234
100,10,40,0.5,-1,7,"Sync9",0.664
100,10,40,0.75,-1,7,"Automerge",0.979
100,10,40,0.75,-1,7,"Sync9",0.525
100,10,40,0.9,-1,7,"Automerge",1.247
100,10,40,0.9,-1,7,"Sync9",0.756
100,10,40,0.1,-1,10,"Automerge",1.886
100,10,40,0.1,-1,10,"Sync9",0.406
100,10,40,0.25,-1,10,"Automerge",2.047
100,10,40,0.25,-1,10,"Sync9",0.858
100,10,40,0.5,-1,10,"Automerge",1.542
100,10,40,0.5,-1,10,"Sync9",1.259
100,10,40,0.75,-1,10,"Automerge",1.227
100,10,40,0.75,-1,10,"Sync9",0.851
100,10,40,0.9,-1,10,"Automerge",1.19
100,10,40,0.9,-1,10,"Sync9",0.864
100,10,80,0.1,-1,2,"Automerge",0.9
100,10,80,0.1,-1,2,"Sync9",0.225
100,10,80,0.25,-1,2,"Automerge",0.767
100,10,80,0.25,-1,2,"Sync9",0.162
100,10,80,0.5,-1,2,"Automerge",0.745
100,10,80,0.5,-1,2,"Sync9",0.2
100,10,80,0.75,-1,2,"Automerge",0.744
100,10,80,0.75,-1,2,"Sync9",0.25
100,10,80,0.9,-1,2,"Automerge",0.76
100,10,80,0.9,-1,2,"Sync9",0.328
100,10,80,0.1,-1,3,"Automerge",1.097
100,10,80,0.1,-1,3,"Sync9",0.243
100,10,80,0.25,-1,3,"Automerge",0.967
100,10,80,0.25,-1,3,"Sync9",0.19
100,10,80,0.5,-1,3,"Automerge",0.986
100,10,80,0.5,-1,3,"Sync9",0.237
100,10,80,0.75,-1,3,"Automerge",0.954
100,10,80,0.75,-1,3,"Sync9",0.339
100,10,80,0.9,-1,3,"Automerge",0.967
100,10,80,0.9,-1,3,"Sync9",0.776
100,10,80,0.1,-1,5,"Automerge",1.494
100,10,80,0.1,-1,5,"Sync9",0.289
100,10,80,0.25,-1,5,"Automerge",1.439
100,10,80,0.25,-1,5,"Sync9",0.29
100,10,80,0.5,-1,5,"Automerge",1.393
100,10,80,0.5,-1,5,"Sync9",0.697
100,10,80,0.75,-1,5,"Automerge",1.399
100,10,80,0.75,-1,5,"Sync9",1.286
100,10,80,0.9,-1,5,"Automerge",1.409
100,10,80,0.9,-1,5,"Sync9",1.235
100,10,80,0.1,-1,7,"Automerge",1.908
100,10,80,0.1,-1,7,"Sync9",0.38
100,10,80,0.25,-1,7,"Automerge",1.95
100,10,80,0.25,-1,7,"Sync9",0.454
100,10,80,0.5,-1,7,"Automerge",1.746
100,10,80,0.5,-1,7,"Sync9",1.831
100,10,80,0.75,-1,7,"Automerge",1.799
100,10,80,0.75,-1,7,"Sync9",2.037
100,10,80,0.9,-1,7,"Automerge",1.789
100,10,80,0.9,-1,7,"Sync9",2.336
100,10,80,0.1,-1,10,"Automerge",2.566
100,10,80,0.1,-1,10,"Sync9",0.501
100,10,80,0.25,-1,10,"Automerge",2.638
100,10,80,0.25,-1,10,"Sync9",1.167
100,10,80,0.5,-1,10,"Automerge",2.401
100,10,80,0.5,-1,10,"Sync9",2.643
100,10,80,0.75,-1,10,"Automerge",2.41
100,10,80,0.75,-1,10,"Sync9",5.647
100,10,80,0.9,-1,10,"Automerge",2.372
100,10,80,0.9,-1,10,"Sync9",3.901
100,10,160,0.1,-1,2,"Automerge",1.618
100,10,160,0.1,-1,2,"Sync9",0.46
100,10,160,0.25,-1,2,"Automerge",1.552
100,10,160,0.25,-1,2,"Sync9",0.331
100,10,160,0.5,-1,2,"Automerge",1.529
100,10,160,0.5,-1,2,"Sync9",0.304
100,10,160,0.75,-1,2,"Automerge",1.524
100,10,160,0.75,-1,2,"Sync9",0.467
100,10,160,0.9,-1,2,"Automerge",1.5
100,10,160,0.9,-1,2,"Sync9",0.908
100,10,160,0.1,-1,3,"Automerge",2.1
100,10,160,0.1,-1,3,"Sync9",0.49
100,10,160,0.25,-1,3,"Automerge",1.962
100,10,160,0.25,-1,3,"Sync9",0.371
100,10,160,0.5,-1,3,"Automerge",1.912
100,10,160,0.5,-1,3,"Sync9",0.429
100,10,160,0.75,-1,3,"Automerge",1.956
100,10,160,0.75,-1,3,"Sync9",0.764
100,10,160,0.9,-1,3,"Automerge",1.959
100,10,160,0.9,-1,3,"Sync9",2.594
100,10,160,0.1,-1,5,"Automerge",2.902
100,10,160,0.1,-1,5,"Sync9",0.581
100,10,160,0.25,-1,5,"Automerge",2.936
100,10,160,0.25,-1,5,"Sync9",0.552
100,10,160,0.5,-1,5,"Automerge",2.847
100,10,160,0.5,-1,5,"Sync9",1.182
100,10,160,0.75,-1,5,"Automerge",2.855
100,10,160,0.75,-1,5,"Sync9",2.246
100,10,160,0.9,-1,5,"Automerge",2.813
100,10,160,0.9,-1,5,"Sync9",5.531
100,10,160,0.1,-1,7,"Automerge",3.687
100,10,160,0.1,-1,7,"Sync9",0.681
100,10,160,0.25,-1,7,"Automerge",3.689
100,10,160,0.25,-1,7,"Sync9",0.79
100,10,160,0.5,-1,7,"Automerge",3.66
100,10,160,0.5,-1,7,"Sync9",4.604
100,10,160,0.75,-1,7,"Automerge",3.571
100,10,160,0.75,-1,7,"Sync9",8.912
100,10,160,0.9,-1,7,"Automerge",3.525
100,10,160,0.9,-1,7,"Sync9",10.821
100,10,160,0.1,-1,10,"Automerge",5.002
100,10,160,0.1,-1,10,"Sync9",0.97
100,10,160,0.25,-1,10,"Automerge",4.977
100,10,160,0.25,-1,10,"Sync9",1.834
100,10,160,0.5,-1,10,"Automerge",4.853
100,10,160,0.5,-1,10,"Sync9",9.587
100,10,160,0.75,-1,10,"Automerge",4.996
100,10,160,0.75,-1,10,"Sync9",26.83
100,10,160,0.9,-1,10,"Automerge",5.059
100,10,160,0.9,-1,10,"Sync9",17.273
100,10,10,0.1,-1,2,"Automerge",0.141
100,10,10,0.1,-1,2,"Sync9",0.031
100,10,10,0.25,-1,2,"Automerge",0.119
100,10,10,0.25,-1,2,"Sync9",0.021
100,10,10,0.5,-1,2,"Automerge",0.127
100,10,10,0.5,-1,2,"Sync9",0.021
100,10,10,0.75,-1,2,"Automerge",0.122
100,10,10,0.75,-1,2,"Sync9",0.021
100,10,10,0.9,-1,2,"Automerge",0.118
100,10,10,0.9,-1,2,"Sync9",0.021
100,10,10,0.1,-1,3,"Automerge",0.226
100,10,10,0.1,-1,3,"Sync9",0.033
100,10,10,0.25,-1,3,"Automerge",0.154
100,10,10,0.25,-1,3,"Sync9",0.025
100,10,10,0.5,-1,3,"Automerge",0.169
100,10,10,0.5,-1,3,"Sync9",0.024
100,10,10,0.75,-1,3,"Automerge",0.161
100,10,10,0.75,-1,3,"Sync9",0.025
100,10,10,0.9,-1,3,"Automerge",0.151
100,10,10,0.9,-1,3,"Sync9",0.025
100,10,10,0.1,-1,5,"Automerge",0.24
100,10,10,0.1,-1,5,"Sync9",0.038
100,10,10,0.25,-1,5,"Automerge",0.222
100,10,10,0.25,-1,5,"Sync9",0.033
100,10,10,0.5,-1,5,"Automerge",0.23
100,10,10,0.5,-1,5,"Sync9",0.037
100,10,10,0.75,-1,5,"Automerge",0.227
100,10,10,0.75,-1,5,"Sync9",0.033
100,10,10,0.9,-1,5,"Automerge",0.254
100,10,10,0.9,-1,5,"Sync9",0.038
100,10,10,0.1,-1,7,"Automerge",0.318
100,10,10,0.1,-1,7,"Sync9",0.052
100,10,10,0.25,-1,7,"Automerge",0.321
100,10,10,0.25,-1,7,"Sync9",0.075
100,10,10,0.5,-1,7,"Automerge",0.374
100,10,10,0.5,-1,7,"Sync9",0.061
100,10,10,0.75,-1,7,"Automerge",0.322
100,10,10,0.75,-1,7,"Sync9",0.069
100,10,10,0.9,-1,7,"Automerge",0.394
100,10,10,0.9,-1,7,"Sync9",0.061
100,10,10,0.1,-1,10,"Automerge",0.615
100,10,10,0.1,-1,10,"Sync9",0.08
100,10,10,0.25,-1,10,"Automerge",0.492
100,10,10,0.25,-1,10,"Sync9",0.101
100,10,10,0.5,-1,10,"Automerge",0.524
100,10,10,0.5,-1,10,"Sync9",0.089
100,10,10,0.75,-1,10,"Automerge",0.426
100,10,10,0.75,-1,10,"Sync9",0.094
100,10,10,0.9,-1,10,"Automerge",0.486
100,10,10,0.9,-1,10,"Sync9",0.115
100,10,20,0.1,-1,2,"Automerge",0.269
100,10,20,0.1,-1,2,"Sync9",0.065
100,10,20,0.25,-1,2,"Automerge",0.326
100,10,20,0.25,-1,2,"Sync9",0.046
100,10,20,0.5,-1,2,"Automerge",0.249
